"pot_type","forming_method","shape","catalog_number","traces_observed"
"experiment",1,"straight sided cup","E1","fine to med rilling,dented effect from thickness discontinuities,thickness discontinuities,torsional rippling"
"experiment",1,"straight sided cup","E2","fine to med rilling,dented effect from thickness discontinuities,thickness discontinuities,torsional rippling"
"experiment",1,"straight sided cup","E3","fine to med rilling,dented effect from thickness discontinuities,thickness discontinuities,torsional rippling"
"experiment",1,"straight sided cup","E4","fine to med rilling,dented effect from thickness discontinuities,thickness discontinuities,torsional rippling"
"experiment",1,"straight sided cup","E5","fine to med rilling,dented effect from thickness discontinuities,thickness discontinuities,torsional rippling"
"experiment",1,"straight sided cup","E6","fine to med rilling,dented effect from thickness discontinuities,thickness discontinuities,torsional rippling"
"experiment",1,"straight sided cup","E7","fine to med rilling,dented effect from thickness discontinuities,thickness discontinuities,torsional rippling"
"experiment",2,"straight sided cup","E8","fine to med rilling,thickness discontinuities,slight torsional rippling"
"experiment",2,"straight sided cup","E9","fine to med rilling,thickness discontinuities,slight torsional rippling,coil seams don't parallel rilling"
"experiment",2,"straight sided cup","E10","fine to med rilling,thickness discontinuities,coil seams don't parallel rilling,slight torsional rippling"
"experiment",2,"straight sided cup","E11","fine to med rilling,thickness discontinuities,slight torsional rippling"
"experiment",2,"straight sided cup","E12","fine to med rilling,thickness discontinuities,asymmetry from rotational shaping,torsional rippling"
"experiment",2,"straight sided cup","E13","fine to med rilling,thickness discontinuities,slight torsional rippling/strain"
"experiment",3,"straight sided cup","E14","fine to med rilling,convex/concave undulations,coil seams don't parallel rilling,slight torsional rippling"
"experiment",3,"straight sided cup","E15","fine to med rilling,convex/concave undulations,coil seams don't parallel rilling,slight torsional rippling"
"experiment",3,"straight sided cup","E16","fine to med rilling,convex/concave undulations,coil seams don't parallel rilling,slight torsional rippling,slip extrusion,incompletely joined coils"
"experiment",3,"straight sided cup","E17","fine to med rilling,convex/concave undulations,coil seams don't parallel rilling,slight torsional rippling and asymmetry from rotation"
"experiment",3,"straight sided cup","E18","fine to med rilling,convex/concave undulations,coil seams don't parallel rilling,slight torsional rippling,incompletely joined coils"
